MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
XXX,XXX,0.192000,Active Import Interval (kW),18-04-2023 04:30
XXX,XXX,0.168000,Active Import Interval (kW),18-04-2023 04:00
XXX,XXX,1.268000,Active Import Interval (kW),18-04-2023 03:30
XXX,XXX,0.293000,Active Import Interval (kW),18-04-2023 03:00
XXX,XXX,0.228000,Active Import Interval (kW),18-04-2023 02:30
XXX,XXX,0.258000,Active Import Interval (kW),18-04-2023 02:00
XXX,XXX,0.946000,Active Import Interval (kW),18-04-2023 01:30
XXX,XXX,0.305000,Active Import Interval (kW),18-04-2023 01:00
XXX,XXX,0.356000,Active Import Interval (kW),18-04-2023 00:30
XXX,XXX,0.425000,Active Import Interval (kW),18-04-2023 00:00
XXX,XXX,0.461000,Active Import Interval (kW),17-04-2023 23:30
XXX,XXX,0.538000,Active Import Interval (kW),17-04-2023 23:00
XXX,XXX,0.777000,Active Import Interval (kW),17-04-2023 22:30
XXX,XXX,0.478000,Active Import Interval (kW),17-04-2023 22:00
XXX,XXX,0.709000,Active Import Interval (kW),17-04-2023 21:30
XXX,XXX,0.654000,Active Import Interval (kW),17-04-2023 21:00
XXX,XXX,0.594000,Active Import Interval (kW),17-04-2023 20:30
XXX,XXX,0.441000,Active Import Interval (kW),17-04-2023 20:00
XXX,XXX,0.372000,Active Import Interval (kW),17-04-2023 19:30
XXX,XXX,0.280000,Active Import Interval (kW),17-04-2023 19:00
XXX,XXX,0.533000,Active Import Interval (kW),17-04-2023 18:30
XXX,XXX,0.570000,Active Import Interval (kW),17-04-2023 18:00
XXX,XXX,1.629000,Active Import Interval (kW),17-04-2023 17:30
XXX,XXX,0.368000,Active Import Interval (kW),17-04-2023 17:00
XXX,XXX,0.367000,Active Import Interval (kW),17-04-2023 16:30
XXX,XXX,0.315000,Active Import Interval (kW),17-04-2023 16:00
XXX,XXX,0.328000,Active Import Interval (kW),17-04-2023 15:30
XXX,XXX,0.413000,Active Import Interval (kW),17-04-2023 15:00
XXX,XXX,0.233000,Active Import Interval (kW),17-04-2023 14:30
XXX,XXX,0.245000,Active Import Interval (kW),17-04-2023 14:00
XXX,XXX,0.256000,Active Import Interval (kW),17-04-2023 13:30
XXX,XXX,0.197000,Active Import Interval (kW),17-04-2023 13:00
XXX,XXX,0.808000,Active Import Interval (kW),17-04-2023 12:30
XXX,XXX,0.259000,Active Import Interval (kW),17-04-2023 12:00
XXX,XXX,1.027000,Active Import Interval (kW),17-04-2023 11:30
XXX,XXX,0.313000,Active Import Interval (kW),17-04-2023 11:00
XXX,XXX,0.393000,Active Import Interval (kW),17-04-2023 10:30
XXX,XXX,1.569000,Active Import Interval (kW),17-04-2023 10:00
XXX,XXX,0.404000,Active Import Interval (kW),17-04-2023 09:30
XXX,XXX,1.780000,Active Import Interval (kW),17-04-2023 09:00
