MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
XXXX,XXXX,0.0000,Active Export Interval (kWh),04-10-2024 01:00
XXXX,XXXX,0.1610,Active Import Interval (kWh),04-10-2024 01:00
XXXX,XXXX,0.2380,Active Import Interval (kWh),04-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),04-10-2024 00:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),04-10-2024 00:00
XXXX,XXXX,0.3205,Active Import Interval (kWh),04-10-2024 00:00
XXXX,XXXX,0.3335,Active Import Interval (kWh),03-10-2024 23:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 23:30
XXXX,XXXX,0.4570,Active Import Interval (kWh),03-10-2024 23:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 23:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 22:30
XXXX,XXXX,0.3835,Active Import Interval (kWh),03-10-2024 22:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 22:00
XXXX,XXXX,0.5440,Active Import Interval (kWh),03-10-2024 22:00
XXXX,XXXX,0.4075,Active Import Interval (kWh),03-10-2024 21:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 21:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 21:00
XXXX,XXXX,0.4180,Active Import Interval (kWh),03-10-2024 21:00
XXXX,XXXX,0.4225,Active Import Interval (kWh),03-10-2024 20:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 20:30
XXXX,XXXX,0.4405,Active Import Interval (kWh),03-10-2024 20:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 20:00
XXXX,XXXX,0.4460,Active Import Interval (kWh),03-10-2024 19:30
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 19:30
XXXX,XXXX,0.4390,Active Import Interval (kWh),03-10-2024 19:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 19:00
XXXX,XXXX,0.0000,Active Export Interval (kWh),03-10-2024 18:30
XXXX,XXXX,0.0915,Active Import Interval (kWh),03-10-2024 18:30
XXXX,XXXX,0.0065,Active Export Interval (kWh),03-10-2024 18:00
XXXX,XXXX,0.2120,Active Import Interval (kWh),03-10-2024 18:00
XXXX,XXXX,0.5160,Active Import Interval (kWh),03-10-2024 17:30
XXXX,XXXX,0.2320,Active Export Interval (kWh),03-10-2024 17:30
XXXX,XXXX,0.0945,Active Import Interval (kWh),03-10-2024 17:00
XXXX,XXXX,0.1695,Active Export Interval (kWh),03-10-2024 17:00
XXXX,XXXX,0.1695,Active Import Interval (kWh),03-10-2024 16:30
XXXX,XXXX,0.2460,Active Export Interval (kWh),03-10-2024 16:30
XXXX,XXXX,0.3980,Active Export Interval (kWh),03-10-2024 16:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 16:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 15:30
XXXX,XXXX,0.8120,Active Export Interval (kWh),03-10-2024 15:30
XXXX,XXXX,0.5965,Active Export Interval (kWh),03-10-2024 15:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 15:00
XXXX,XXXX,0.5855,Active Export Interval (kWh),03-10-2024 14:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 14:30
XXXX,XXXX,0.0005,Active Import Interval (kWh),03-10-2024 14:00
XXXX,XXXX,1.0440,Active Export Interval (kWh),03-10-2024 14:00
XXXX,XXXX,0.8685,Active Export Interval (kWh),03-10-2024 13:30
XXXX,XXXX,0.0005,Active Import Interval (kWh),03-10-2024 13:30
XXXX,XXXX,0.0300,Active Import Interval (kWh),03-10-2024 13:00
XXXX,XXXX,0.9835,Active Export Interval (kWh),03-10-2024 13:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 12:30
XXXX,XXXX,0.9305,Active Export Interval (kWh),03-10-2024 12:30
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 12:00
XXXX,XXXX,0.9560,Active Export Interval (kWh),03-10-2024 12:00
XXXX,XXXX,0.0000,Active Import Interval (kWh),03-10-2024 11:30
XXXX,XXXX,0.8265,Active Export Interval (kWh),03-10-2024 11:30
